SampleID	Sex	ID	Population	Sub-population	Cohort
HG00285	female	SAME122836	EUR	NA	1000 Genomes Project
HG00356	female	SAME125123	EUR	NA	1000 Genomes Project
HG00437	female	SAME125261	EAS	NA	1000 Genomes Project
HG00445	male	SAME124975	EAS	NA	1000 Genomes Project
HG00452	female	SAME123115	EAS	NA	1000 Genomes Project
HG00449	female	SAME123885	EAS	NA	1000 Genomes Project
HG00457	male	SAME123095	EAS	NA	1000 Genomes Project
HG00451	male	SAME125159	EAS	NA	1000 Genomes Project
HG00534	female	SAME123915	EAS	NA	1000 Genomes Project
HG00332	female	SAME123987	EUR	NA	1000 Genomes Project
HG00337	female	SAME123984	EUR	NA	1000 Genomes Project
HG00375	male	SAME124750	EUR	NA	1000 Genomes Project
HG00533	male	SAME124353	EAS	NA	1000 Genomes Project
HG00368	female	SAME124535	EUR	NA	1000 Genomes Project
HG00584	female	SAME124663	EAS	NA	1000 Genomes Project
HG00589	male	SAME124824	EAS	NA	1000 Genomes Project
HG00583	male	SAME124829	EAS	NA	1000 Genomes Project
HG00590	female	SAME125009	EAS	NA	1000 Genomes Project
HG00596	female	SAME125007	EAS	NA	1000 Genomes Project
HG00560	female	SAME124456	EAS	NA	1000 Genomes Project
HG00475	male	SAME123342	EAS	NA	1000 Genomes Project
HG00565	male	SAME124452	EAS	NA	1000 Genomes Project
HG00381	female	SAME123030	EUR	NA	1000 Genomes Project
HG00577	male	SAME123516	EAS	NA	1000 Genomes Project
HG00406	male	SAME123156	EAS	NA	1000 Genomes Project
HG00595	male	SAME125006	EAS	NA	1000 Genomes Project
HG00692	male	SAME123684	EAS	NA	1000 Genomes Project
HG00608	female	SAME125369	EAS	NA	1000 Genomes Project
HG00610	male	SAME125199	EAS	NA	1000 Genomes Project
HG00623	female	SAME1839285	EAS	NA	1000 Genomes Project
HG00418	male	SAME122992	EAS	NA	1000 Genomes Project
HG00628	male	SAME123085	EAS	NA	1000 Genomes Project
HG00557	female	SAME124258	EAS	NA	1000 Genomes Project
HG00553	male	SAME124254	AMR	NA	1000 Genomes Project
HG00653	male	SAME123251	EAS	NA	1000 Genomes Project
HG00672	female	SAME123606	EAS	NA	1000 Genomes Project
HG00654	female	SAME123234	EAS	NA	1000 Genomes Project
HG00684	female	SAME123890	EAS	NA	1000 Genomes Project
HG00689	male	SAME123893	EAS	NA	1000 Genomes Project
HG00611	female	SAME125198	EAS	NA	1000 Genomes Project
HG00635	female	SAME122902	EAS	NA	1000 Genomes Project
HG00867	female	SAME123550	EAS	NA	1000 Genomes Project
HG00879	female	SAME123399	EAS	NA	1000 Genomes Project
HG00731	male	SAME125390	AMR	NA	1000 Genomes Project
HG00881	male	SAME123540	EAS	NA	1000 Genomes Project
HG00736	male	SAME123058	AMR	NA	1000 Genomes Project
HG00956	female	SAME124319	EAS	NA	1000 Genomes Project
HG01049	female	SAME125248	AMR	NA	1000 Genomes Project
HG00982	male	SAME123770	EAS	NA	1000 Genomes Project
HG01051	male	SAME123712	AMR	NA	1000 Genomes Project
HG01029	female	SAME123523	EAS	NA	1000 Genomes Project
HG00728	male	SAME1840267	EAS	NA	1000 Genomes Project
HG01075	male	SAME124071	AMR	NA	1000 Genomes Project
HG01082	male	SAME125398	AMR	NA	1000 Genomes Project
HG00704	male	SAME122928	EAS	NA	1000 Genomes Project
HG00705	female	SAME122927	EAS	NA	1000 Genomes Project
HG00717	female	SAME124926	EAS	NA	1000 Genomes Project
HG00729	female	SAME1840273	EAS	NA	1000 Genomes Project
HG01063	male	SAME1839767	AMR	NA	1000 Genomes Project
HG00634	male	SAME122903	EAS	NA	1000 Genomes Project
HG00742	male	SAME1840188	AMR	NA	1000 Genomes Project
HG01070	female	SAME123993	AMR	NA	1000 Genomes Project
HG00759	female	SAME125020	EAS	NA	1000 Genomes Project
HG01102	female	SAME123678	AMR	NA	1000 Genomes Project
HG00766	female	SAME124458	EAS	NA	1000 Genomes Project
HG01107	male	SAME123675	AMR	NA	1000 Genomes Project
HG00743	female	SAME1840184	AMR	NA	1000 Genomes Project
HG00622	male	SAME1839278	EAS	NA	1000 Genomes Project
HG00844	male	SAME123952	EAS	NA	1000 Genomes Project
HG00851	female	SAME123756	EAS	NA	1000 Genomes Project
HG00641	female	SAME123435	AMR	NA	1000 Genomes Project
HG01094	male	SAME122925	AMR	NA	1000 Genomes Project
HG01031	male	SAME123728	EAS	NA	1000 Genomes Project
HG01048	male	SAME123169	AMR	NA	1000 Genomes Project
HG01055	female	SAME123638	AMR	NA	1000 Genomes Project
HG01119	female	SAME1840402	AMR	NA	1000 Genomes Project
HG01098	female	SAME123490	AMR	NA	1000 Genomes Project
HG01121	male	SAME1840127	AMR	NA	1000 Genomes Project
HG01101	male	SAME123677	AMR	NA	1000 Genomes Project
HG01133	male	SAME123884	AMR	NA	1000 Genomes Project
HG01168	female	SAME124796	AMR	NA	1000 Genomes Project
HG01170	male	SAME124623	AMR	NA	1000 Genomes Project
HG01140	female	SAME124422	AMR	NA	1000 Genomes Project
HG01272	female	SAME122996	AMR	NA	1000 Genomes Project
HG01277	male	SAME123000	AMR	NA	1000 Genomes Project
HG01079	male	SAME123013	AMR	NA	1000 Genomes Project
HG01284	female	SAME1839191	AMR	NA	1000 Genomes Project
HG01171	female	SAME124622	AMR	NA	1000 Genomes Project
HG01125	female	SAME124054	AMR	NA	1000 Genomes Project
HG01176	male	SAME124621	AMR	NA	1000 Genomes Project
HG01137	female	SAME123888	AMR	NA	1000 Genomes Project
HG01183	female	SAME124792	AMR	NA	1000 Genomes Project
HG01253	male	SAME125284	AMR	NA	1000 Genomes Project
HG01113	female	SAME123484	AMR	NA	1000 Genomes Project
HG01260	female	SAME122815	AMR	NA	1000 Genomes Project
HG01149	female	SAME124425	AMR	NA	1000 Genomes Project
HG01188	female	SAME124927	AMR	NA	1000 Genomes Project
HG01086	female	SAME125394	AMR	NA	1000 Genomes Project
HG01190	male	SAME123654	AMR	NA	1000 Genomes Project
HG01164	male	SAME1839690	AMR	NA	1000 Genomes Project
HG01334	male	SAME123533	EUR	NA	1000 Genomes Project
HG01341	male	SAME124859	AMR	NA	1000 Genomes Project
HG01311	male	SAME1839796	AMR	NA	1000 Genomes Project
HG01323	female	SAME1839534	AMR	NA	1000 Genomes Project
HG01360	female	SAME122855	AMR	NA	1000 Genomes Project
HG01241	male	SAME125065	AMR	NA	1000 Genomes Project
HG01365	male	SAME124508	AMR	NA	1000 Genomes Project
HG01474	female	SAME1840189	AMR	NA	1000 Genomes Project
HG01372	female	SAME1840339	AMR	NA	1000 Genomes Project
HG01479	male	SAME1840251	AMR	NA	1000 Genomes Project
HG01377	male	SAME124288	AMR	NA	1000 Genomes Project
HG01384	female	SAME122969	AMR	NA	1000 Genomes Project
HG01392	male	SAME1840234	AMR	NA	1000 Genomes Project
HG01269	female	SAME1839257	AMR	NA	1000 Genomes Project
HG01271	male	SAME122998	AMR	NA	1000 Genomes Project
HG01405	male	SAME1839863	AMR	NA	1000 Genomes Project
HG01455	male	SAME123429	AMR	NA	1000 Genomes Project
HG01462	female	SAME123539	AMR	NA	1000 Genomes Project
HG01257	female	SAME125288	AMR	NA	1000 Genomes Project
HG01412	male	SAME1839619	AMR	NA	1000 Genomes Project
HG01431	male	SAME1839260	AMR	NA	1000 Genomes Project
HG01353	male	SAME124685	AMR	NA	1000 Genomes Project
HG01342	female	SAME124856	AMR	NA	1000 Genomes Project
HG01182	male	SAME124789	AMR	NA	1000 Genomes Project
HG01347	male	SAME124861	AMR	NA	1000 Genomes Project
HG01187	male	SAME124783	AMR	NA	1000 Genomes Project
HG01378	female	SAME124076	AMR	NA	1000 Genomes Project
HG01303	female	SAME1840027	AMR	NA	1000 Genomes Project
HG01308	male	SAME1840002	AMR	NA	1000 Genomes Project
HG01366	female	SAME125265	AMR	NA	1000 Genomes Project
HG01389	male	SAME122972	AMR	NA	1000 Genomes Project
HG01354	female	SAME124680	AMR	NA	1000 Genomes Project
HG01359	male	SAME124687	AMR	NA	1000 Genomes Project
HG01396	female	SAME1839954	AMR	NA	1000 Genomes Project
HG01443	male	SAME1839032	AMR	NA	1000 Genomes Project
HG01459	female	SAME1840278	AMR	NA	1000 Genomes Project
HG01599	female	SAME125238	EAS	NA	1000 Genomes Project
HG01461	male	SAME122879	AMR	NA	1000 Genomes Project
HG01602	female	SAME123454	EUR	NA	1000 Genomes Project
HG01497	male	SAME124134	AMR	NA	1000 Genomes Project
HG01500	male	SAME124941	EUR	NA	1000 Genomes Project
HG01537	female	SAME125134	EUR	NA	1000 Genomes Project
HG01435	female	SAME1839239	AMR	NA	1000 Genomes Project
HG01551	female	SAME124008	AMR	NA	1000 Genomes Project
HG01498	female	SAME124142	AMR	NA	1000 Genomes Project
HG01447	female	SAME1839099	AMR	NA	1000 Genomes Project
HG01501	female	SAME124942	EUR	NA	1000 Genomes Project
HG01485	male	SAME1840047	AMR	NA	1000 Genomes Project
HG01506	male	SAME124947	EUR	NA	1000 Genomes Project
HG01492	female	SAME124137	AMR	NA	1000 Genomes Project
HG01513	female	SAME124768	EUR	NA	1000 Genomes Project
HG01518	male	SAME124766	EUR	NA	1000 Genomes Project
HG01619	male	SAME123632	EUR	NA	1000 Genomes Project
HG01486	female	SAME1840048	AMR	NA	1000 Genomes Project
HG01524	male	SAME125327	EUR	NA	1000 Genomes Project
HG01607	female	SAME123457	EUR	NA	1000 Genomes Project
HG01512	male	SAME124769	EUR	NA	1000 Genomes Project
HG01525	female	SAME125328	EUR	NA	1000 Genomes Project
HG01556	male	SAME1840141	AMR	NA	1000 Genomes Project
HG01586	male	SAME1839879	SAS	NA	1000 Genomes Project
HG01789	male	SAME124433	EUR	NA	1000 Genomes Project
HG01593	female	SAME1839634	SAS	NA	1000 Genomes Project
HG01791	male	SAME124221	EUR	NA	1000 Genomes Project
HG01598	female	SAME125239	EAS	NA	1000 Genomes Project
HG01796	female	SAME124220	EAS	NA	1000 Genomes Project
HG01632	female	SAME124032	EUR	NA	1000 Genomes Project
HG01626	female	SAME123842	EUR	NA	1000 Genomes Project
HG01668	female	SAME123111	EUR	NA	1000 Genomes Project
HG01670	female	SAME123290	EUR	NA	1000 Genomes Project
HG01669	male	SAME123110	EUR	NA	1000 Genomes Project
HG01675	male	SAME123287	EUR	NA	1000 Genomes Project
HG01765	male	SAME1839681	EUR	NA	1000 Genomes Project
HG01613	female	SAME123626	EUR	NA	1000 Genomes Project
HG01618	female	SAME123631	EUR	NA	1000 Genomes Project
HG01620	female	SAME123844	EUR	NA	1000 Genomes Project
HG01676	female	SAME123284	EUR	NA	1000 Genomes Project
HG01550	male	SAME124009	AMR	NA	1000 Genomes Project
HG01695	female	SAME124845	EUR	NA	1000 Genomes Project
HG01682	male	SAME124654	EUR	NA	1000 Genomes Project
HG01777	male	SAME124631	EUR	NA	1000 Genomes Project
HG01784	female	SAME124431	EUR	NA	1000 Genomes Project
HG01694	male	SAME124844	EUR	NA	1000 Genomes Project
HG01708	male	SAME123253	EUR	NA	1000 Genomes Project
HG01531	female	SAME125136	EUR	NA	1000 Genomes Project
HG01710	female	SAME123084	EUR	NA	1000 Genomes Project
HG01536	male	SAME125135	EUR	NA	1000 Genomes Project
HG01746	female	SAME125180	EUR	NA	1000 Genomes Project
HG01699	male	SAME1839210	EUR	NA	1000 Genomes Project
HG01804	female	SAME124302	EAS	NA	1000 Genomes Project
HG01702	female	SAME123259	EUR	NA	1000 Genomes Project
HG01809	female	SAME124299	EAS	NA	1000 Genomes Project
HG01811	male	SAME125380	EAS	NA	1000 Genomes Project
HG01606	male	SAME123458	EUR	NA	1000 Genomes Project
HG01873	male	SAME123400	EAS	NA	1000 Genomes Project
HG01625	male	SAME123839	EUR	NA	1000 Genomes Project
HG01878	female	SAME123394	EAS	NA	1000 Genomes Project
HG01846	male	SAME123558	EAS	NA	1000 Genomes Project
HG01880	female	SAME1839109	AFR	NA	1000 Genomes Project
HG01853	female	SAME123751	EAS	NA	1000 Genomes Project
HG01885	male	SAME122844	AFR	NA	1000 Genomes Project
HG01808	female	SAME124300	EAS	NA	1000 Genomes Project
HG01948	female	SAME124144	AMR	NA	1000 Genomes Project
HG01810	male	SAME124519	EAS	NA	1000 Genomes Project
HG01950	male	SAME123977	AMR	NA	1000 Genomes Project
HG01815	female	SAME124524	EAS	NA	1000 Genomes Project
HG01841	female	SAME123551	EAS	NA	1000 Genomes Project
HG01892	male	SAME123026	AMR	NA	1000 Genomes Project
HG01783	male	SAME124427	EUR	NA	1000 Genomes Project
HG01790	female	SAME124222	EUR	NA	1000 Genomes Project
HG01912	male	SAME1839779	AFR	NA	1000 Genomes Project
HG01917	male	SAME123235	AMR	NA	1000 Genomes Project
HG01771	male	SAME124637	EUR	NA	1000 Genomes Project
HG01924	female	SAME123785	AMR	NA	1000 Genomes Project
HG01776	female	SAME124632	EUR	NA	1000 Genomes Project
HG01936	female	SAME123591	AMR	NA	1000 Genomes Project
HG01816	male	SAME124521	EAS	NA	1000 Genomes Project
HG01860	male	SAME123201	EAS	NA	1000 Genomes Project
HG01842	male	SAME123554	EAS	NA	1000 Genomes Project
HG01865	male	SAME123196	EAS	NA	1000 Genomes Project
HG01861	male	SAME123200	EAS	NA	1000 Genomes Project
HG01757	female	SAME124987	EUR	NA	1000 Genomes Project
HG01866	male	SAME123195	EAS	NA	1000 Genomes Project
HG01847	female	SAME123557	EAS	NA	1000 Genomes Project
HG01707	female	SAME123264	EUR	NA	1000 Genomes Project
HG01859	female	SAME123535	EAS	NA	1000 Genomes Project
HG01872	male	SAME123995	EAS	NA	1000 Genomes Project
HG01795	female	SAME124217	EAS	NA	1000 Genomes Project
HG02054	female	SAME1839538	AFR	NA	1000 Genomes Project
HG01997	female	SAME124740	AMR	NA	1000 Genomes Project
HG02003	female	SAME123619	AMR	NA	1000 Genomes Project
HG02061	male	SAME1839676	EAS	NA	1000 Genomes Project
HG02008	male	SAME123621	AMR	NA	1000 Genomes Project
HG02010	female	SAME123444	AFR	NA	1000 Genomes Project
HG02009	male	SAME123622	AFR	NA	1000 Genomes Project
HG01954	female	SAME123980	AMR	NA	1000 Genomes Project
HG02028	female	SAME124020	EAS	NA	1000 Genomes Project
HG01961	male	SAME1839067	AMR	NA	1000 Genomes Project
HG01973	female	SAME124328	AMR	NA	1000 Genomes Project
HG02035	male	SAME1840035	EAS	NA	1000 Genomes Project
HG02047	male	SAME1839772	EAS	NA	1000 Genomes Project
HG01980	female	SAME124917	AMR	NA	1000 Genomes Project
HG01986	male	SAME1840091	AFR	NA	1000 Genomes Project
HG01985	female	SAME1840099	AFR	NA	1000 Genomes Project
HG01992	female	SAME124742	AMR	NA	1000 Genomes Project
HG02078	female	SAME123099	EAS	NA	1000 Genomes Project
HG01889	female	SAME122851	AFR	NA	1000 Genomes Project
HG02085	male	SAME124979	EAS	NA	1000 Genomes Project
HG01935	male	SAME123588	AMR	NA	1000 Genomes Project
HG01979	male	SAME124331	AMR	NA	1000 Genomes Project
HG01942	female	SAME124150	AMR	NA	1000 Genomes Project
HG01923	male	SAME123788	AMR	NA	1000 Genomes Project
HG01967	male	SAME124530	AMR	NA	1000 Genomes Project
HG01974	male	SAME124323	AMR	NA	1000 Genomes Project
HG01896	female	SAME1840348	AFR	NA	1000 Genomes Project
HG02016	female	SAME123446	EAS	NA	1000 Genomes Project
HG02023	male	SAME125307	EAS	NA	1000 Genomes Project
HG01947	male	SAME124155	AMR	NA	1000 Genomes Project
HG02073	male	SAME123104	EAS	NA	1000 Genomes Project
HG02111	female	SAME1839922	AFR	NA	1000 Genomes Project
HG02116	male	SAME1839990	EAS	NA	1000 Genomes Project
HG02150	male	SAME1839407	AMR	NA	1000 Genomes Project
HG02128	male	SAME123475	EAS	NA	1000 Genomes Project
HG02155	female	SAME124795	EAS	NA	1000 Genomes Project
HG02089	female	SAME124821	AMR	NA	1000 Genomes Project
HG02136	female	SAME1839865	EAS	NA	1000 Genomes Project
HG02143	male	SAME1839628	AFR	NA	1000 Genomes Project
HG02104	male	SAME123874	AMR	NA	1000 Genomes Project
HG02142	female	SAME124614	EAS	NA	1000 Genomes Project
HG02220	female	SAME123715	EUR	NA	1000 Genomes Project
HG02147	female	SAME1839700	AMR	NA	1000 Genomes Project
HG02053	male	SAME1839543	AFR	NA	1000 Genomes Project
HG02131	male	SAME1839896	EAS	NA	1000 Genomes Project
HG02058	male	SAME125319	EAS	NA	1000 Genomes Project
HG02232	female	SAME1839374	EUR	NA	1000 Genomes Project
HG02060	female	SAME1839679	EAS	NA	1000 Genomes Project
HG02072	female	SAME123105	EAS	NA	1000 Genomes Project
HG02105	female	SAME123873	AMR	NA	1000 Genomes Project
HG02130	female	SAME1839904	EAS	NA	1000 Genomes Project
HG02256	female	SAME1839332	AFR	NA	1000 Genomes Project
HG02179	female	SAME124415	EAS	NA	1000 Genomes Project
HG02181	female	SAME123206	EAS	NA	1000 Genomes Project
HG02084	female	SAME124973	EAS	NA	1000 Genomes Project
HG02186	female	SAME125039	EAS	NA	1000 Genomes Project
HG02408	male	SAME1839461	EAS	NA	1000 Genomes Project
HG02410	male	SAME1839207	EAS	NA	1000 Genomes Project
HG02281	male	SAME1840094	AFR	NA	1000 Genomes Project
HG02427	female	SAME1839036	AFR	NA	1000 Genomes Project
HG02286	female	SAME122912	AMR	NA	1000 Genomes Project
HG02299	male	SAME1839994	AMR	NA	1000 Genomes Project
HG02298	female	SAME1839913	AMR	NA	1000 Genomes Project
HG02307	male	SAME1839535	AFR	NA	1000 Genomes Project
HG02301	female	SAME124280	AMR	NA	1000 Genomes Project
HG02282	female	SAME1840177	AFR	NA	1000 Genomes Project
HG02231	male	SAME1839376	EUR	NA	1000 Genomes Project
HG02314	male	SAME1839674	AFR	NA	1000 Genomes Project
HG02236	male	SAME123520	EUR	NA	1000 Genomes Project
HG02250	male	SAME1839268	EAS	NA	1000 Genomes Project
HG02383	male	SAME1840019	EAS	NA	1000 Genomes Project
HG02255	male	SAME1839337	AFR	NA	1000 Genomes Project
HG02262	male	SAME1839128	AMR	NA	1000 Genomes Project
HG02364	male	SAME1840125	EAS	NA	1000 Genomes Project
HG02371	male	SAME1840180	EAS	NA	1000 Genomes Project
HG02274	male	SAME1840306	AMR	NA	1000 Genomes Project
HG02390	male	SAME1839788	EAS	NA	1000 Genomes Project
HG02395	male	SAME1839754	EAS	NA	1000 Genomes Project
HG02224	male	SAME1839579	EUR	NA	1000 Genomes Project
HG02275	female	SAME1840376	AMR	NA	1000 Genomes Project
HG02178	female	SAME124414	EAS	NA	1000 Genomes Project
HG02345	female	SAME1839081	AMR	NA	1000 Genomes Project
HG02180	female	SAME123208	EAS	NA	1000 Genomes Project
HG02185	female	SAME123215	EAS	NA	1000 Genomes Project
HG02554	male	SAME1840075	AFR	NA	1000 Genomes Project
HG02154	female	SAME124794	EAS	NA	1000 Genomes Project
HG02166	female	SAME124207	EAS	NA	1000 Genomes Project
HG02561	male	SAME1839838	AFR	NA	1000 Genomes Project
HG02600	male	SAME1840302	SAS	NA	1000 Genomes Project
HG02318	female	SAME1839391	AFR	NA	1000 Genomes Project
HG02464	male	SAME1839978	AFR	NA	1000 Genomes Project
HG02351	male	SAME1840284	EAS	NA	1000 Genomes Project
HG02484	male	SAME1839858	AFR	NA	1000 Genomes Project
HG02356	male	SAME1840261	EAS	NA	1000 Genomes Project
HG02489	male	SAME1839546	AFR	NA	1000 Genomes Project
HG02491	female	SAME1839617	SAS	NA	1000 Genomes Project
HG02325	female	SAME1839521	AFR	NA	1000 Genomes Project
HG02585	male	SAME1839418	AFR	NA	1000 Genomes Project
HG02332	male	SAME1839315	AFR	NA	1000 Genomes Project
HG02597	male	SAME1839199	SAS	NA	1000 Genomes Project
HG02337	female	SAME1839296	AFR	NA	1000 Genomes Project
HG02573	male	SAME1839567	AFR	NA	1000 Genomes Project
HG02580	female	SAME1839366	AFR	NA	1000 Genomes Project
HG02465	female	SAME1839973	AFR	NA	1000 Genomes Project
HG02394	male	SAME123305	EAS	NA	1000 Genomes Project
HG02477	female	SAME1839710	AFR	NA	1000 Genomes Project
HG02375	male	SAME1840244	EAS	NA	1000 Genomes Project
HG02496	male	SAME1839688	AFR	NA	1000 Genomes Project
HG02382	male	SAME1840025	EAS	NA	1000 Genomes Project
HG02511	female	SAME1839150	AFR	NA	1000 Genomes Project
HG02490	male	SAME1839625	SAS	NA	1000 Genomes Project
HG02439	male	SAME1840297	AFR	NA	1000 Genomes Project
HG02399	male	SAME1839842	EAS	NA	1000 Genomes Project
HG02629	female	SAME1840230	AFR	NA	1000 Genomes Project
HG02402	male	SAME1839412	EAS	NA	1000 Genomes Project
HG02407	male	SAME1839464	EAS	NA	1000 Genomes Project
HG02643	female	SAME1839785	AFR	NA	1000 Genomes Project
HG02419	female	SAME1839244	AFR	NA	1000 Genomes Project
HG02648	male	SAME1839751	SAS	NA	1000 Genomes Project
HG02433	male	SAME1839175	AFR	NA	1000 Genomes Project
HG02679	female	SAME1839471	AFR	NA	1000 Genomes Project
HG02445	male	SAME1840341	AFR	NA	1000 Genomes Project
HG02681	male	SAME1839304	SAS	NA	1000 Genomes Project
HG02471	female	SAME1839741	AFR	NA	1000 Genomes Project
HG02476	female	SAME1839717	AFR	NA	1000 Genomes Project
HG02628	male	SAME1840238	AFR	NA	1000 Genomes Project
HG02667	female	SAME1839384	AFR	NA	1000 Genomes Project
HG02737	female	SAME1839857	SAS	NA	1000 Genomes Project
HG02635	female	SAME1840023	AFR	NA	1000 Genomes Project
HG02756	male	SAME1839454	AFR	NA	1000 Genomes Project
HG02642	male	SAME1839792	AFR	NA	1000 Genomes Project
HG02577	female	SAME1839642	AFR	NA	1000 Genomes Project
HG02655	female	SAME1839526	SAS	NA	1000 Genomes Project
HG02725	female	SAME1839737	SAS	NA	1000 Genomes Project
HG02589	female	SAME1839401	AFR	NA	1000 Genomes Project
HG02624	female	SAME1840259	AFR	NA	1000 Genomes Project
HG02604	female	SAME1840282	SAS	NA	1000 Genomes Project
HG02888	female	SAME1840139	AFR	NA	1000 Genomes Project
HG02654	male	SAME1839530	SAS	NA	1000 Genomes Project
HG02890	male	SAME1839947	AFR	NA	1000 Genomes Project
HG02508	female	SAME1839334	AFR	NA	1000 Genomes Project
HG02895	male	SAME1839918	AFR	NA	1000 Genomes Project
HG02522	female	SAME1840326	EAS	NA	1000 Genomes Project
HG02922	female	SAME1839441	AFR	NA	1000 Genomes Project
HG02541	male	SAME1840214	AFR	NA	1000 Genomes Project
HG02787	female	SAME1840288	SAS	NA	1000 Genomes Project
HG02546	female	SAME1839932	AFR	NA	1000 Genomes Project
HG02558	female	SAME1840057	AFR	NA	1000 Genomes Project
HG02799	female	SAME1840384	AFR	NA	1000 Genomes Project
HG02611	female	SAME1840401	AFR	NA	1000 Genomes Project
HG02819	male	SAME1839804	AFR	NA	1000 Genomes Project
HG02623	male	SAME1840182	AFR	NA	1000 Genomes Project
HG02661	female	SAME1839667	SAS	NA	1000 Genomes Project
HG02840	female	SAME1839475	AFR	NA	1000 Genomes Project
HG02763	female	SAME1839254	AFR	NA	1000 Genomes Project
HG02768	male	SAME1839235	AFR	NA	1000 Genomes Project
HG02724	male	SAME1839740	SAS	NA	1000 Genomes Project
HG02666	male	SAME1839386	AFR	NA	1000 Genomes Project
HG02678	male	SAME1839477	AFR	NA	1000 Genomes Project
HG02941	male	SAME1839096	AFR	NA	1000 Genomes Project
HG02946	female	SAME1839068	AFR	NA	1000 Genomes Project
HG02807	male	SAME1840073	AFR	NA	1000 Genomes Project
HG02731	female	SAME1839886	SAS	NA	1000 Genomes Project
